station_name,station_identifier,type,latitude,longitude,elevation
San Juan River near PNM Reservoir,5309,River/Stream,36.72659,-108.24161,1841.000000
Salton Sea,3711,Lake/Reservoir,33.3286,-115.8434,-226.400000
Colorado River At Water Wheel,3524,River/Stream,33.9319,-114.535133,305.910000
Colorado River At Taylor Ferry,3523,River/Stream,33.43438,-114.626117,236.000000
Colorado River At Parker Gage,3521,River/Stream,34.1489,-114.3078,347.300000
Colorado River At Cibola Gage,3520,River/Stream,33.2209333,-114.6725667,214.500000
Colorado River Below Big Bend,3516,River/Stream,35.08838333,-114.6243,488.400000
Colorado River Below Mcintyre Park,3518,River/Stream,33.5109833,-114.5681667,247.780000
Colorado River Below Davis Dam,3525,River/Stream,35.1881,-114.570883,645.860000
Colorado River Below Interstate Bridge,3517,River/Stream,33.5893667,-114.54265,258.730000
Colorado River Below Oxbow Bridge,3519,River/Stream,33.3676667,-114.70325,223.650000
Colorado River At River Section 41,3522,River/Stream,34.6875833,-114.46265,455.300000
Hoover Power Plant,3277,Power Plant,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A3,3409,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A0,3406,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A2,3408,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A4,3410,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A5,3411,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A6,3412,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A8,3414,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A7,3413,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A9,3415,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit A1,3407,Power Plant Unit,36.01550974,-114.73800556,995.630000
Bighorn Lake Yellowtail Dam and Powerplant,275,Lake/Reservoir,45.3072,-107.9569,3200.000000
B.F. Sisk Dam and San Luis Reservoir,3730,Lake/Reservoir,37.0582,-121.074,543.000000
Marys Lake,1,Lake/Reservoir,40.3440796,-105.5343083,8050.000000
Tracy Fish Collection Facility,3695,Building,37.815176,-121.560709,13.000000
Colorado River Above Imperial Dam,3685,River/Stream,32.884936,-114.468111,181.000000
Angostura Reservoir and Dam,257,Lake/Reservoir,43.3433,-103.4383,3200.000000
Belle Fourche Reservoir and Dam,274,Lake/Reservoir,44.7367,-103.6742,2900.000000
Box Butte Reservoir and Dam,268,Lake/Reservoir,42.4583,-103.0667,4007.000000
Boysen Reservoir Dam and Powerplant,281,Lake/Reservoir,43.4,-108.1769,4628.000000
Buffalo Bill Reservoir Dam and Powerplant,269,Lake/Reservoir,44.5014,-109.1833,5360.000000
Calamus Reservoir and Virginia Smith Dam,287,Lake/Reservoir,41.8272,-99.2197,2255.000000
Clark Canyon Reservoir and Dam,294,Lake/Reservoir,45.0017,-112.8575,5580.000000
Flatiron Reservoir and Dam,331,Lake/Reservoir,40.365,-105.2361,5580.000000
Folsom Lake Dam and Powerplant,334,Lake/Reservoir,38.683,-121.183,466.000000
Fresno Reservoir and Dam,337,Lake/Reservoir,48.6083,-109.9458,2535.000000
Gibson Reservoir and Dam,342,Lake/Reservoir,47.6008,-112.7617,4550.000000
Glendo Reservoir Dam and Powerplant,345,Lake/Reservoir,42.4772,-104.9506,4520.000000
Guernsey Reservoir Dam and Powerplant,357,Lake/Reservoir,42.2886,-104.7625,4480.000000
Lake Tschida and Heart Butte Dam,402,Lake/Reservoir,46.5967,-101.8094,2124.000000
Hyrum Reservoir and Dam,372,Lake/Reservoir,41.62117,-111.86099,4672.000000
Jamestown Dam and Reservoir,379,Lake/Reservoir,46.9306,-98.7064,1430.000000
Keith Sebelius Lake and Norton Dam,390,Lake/Reservoir,39.8075,-99.9342,2347.000000
Keyhole Reservoir and Dam,388,Lake/Reservoir,44.3819,-104.7792,4134.000000
Kirwin Reservoir and Dam,391,Lake/Reservoir,39.6636,-99.1247,1730.000000
Lake Estes and Olympus Dam,429,Lake/Reservoir,40.373,-105.4878,7481.000000
Edward Arthur Patterson Lake,318,Lake/Reservoir,46.8697,-102.8269,2430.000000
Lake Mead Hoover Dam and Powerplant,3514,Lake/Reservoir,36.0163,-114.7374,1229.000000
Lake Havasu Parker Dam and Powerplant,3515,Lake/Reservoir,34.2964,-114.1385,450.000000
Nambe Falls Reservoir and Dam ,3511,Lake/Reservoir,35.97499,-105.91753,6305.000000
Lake Elwell and Tiber Dam,396,Lake/Reservoir,48.3183,-111.0908,2840.000000
Avalon Reservoir and Dam,267,Lake/Reservoir,32.4908,-104.2522,3160.000000
Brantley Lake and Dam,282,Lake/Reservoir,32.5442,-104.3814,3249.000000
Lake Sumner and Dam,489,Lake/Reservoir,34.62884,-104.3924,4272.000000
Santa Rosa Lake and Reservoir,458,Lake/Reservoir,35.0443,-104.6663,4738.000000
Four Mile Draw near Lakewood,3588,River/Stream,32.672782,-104.368897,3299.140000
Pecos River Above Santa Rosa Lake,3589,River/Stream,35.05945,-104.761121,4760.000000
Pecos River Below Taiban Creek near Fort Sumner,3590,River/Stream,34.332228,-104.18112,3910.000000
Pecos River near Acme,3591,River/Stream,33.57195,-104.37362,3510.000000
Pecos River near Artesia,3592,River/Stream,32.840839,-104.323897,3291.920000
Rio Felix at Old Highway Bridge near Hagerman,3593,River/Stream,33.125006,-104.344453,3403.400000
